Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1725551817747,05/09/2024 15:56:57,1725537417747,-4,05/09/2024 07:56:57,183710,6,questionnaire-7y3d,,39900586,t7awlz11,11666541,,complete,iibkat,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x953,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725551821600,05/09/2024 15:57:01,1725537421600,-4,05/09/2024 07:57:01,183710,6,questionnaire-7y3d,,39900586,t7awlz11,11666541,,complete,iibkat,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x953,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725551735692,05/09/2024 15:55:35,1725537335692,-4,05/09/2024 07:55:35,183710,6,questionnaire-7y3d,,39900544,lh47ghe3,11666498,,complete,zigipn,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1440x900,1440x731,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725551746270,05/09/2024 15:55:46,1725537346270,-4,05/09/2024 07:55:46,183710,6,questionnaire-7y3d,,39900544,lh47ghe3,11666498,,complete,zigipn,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1440x900,1440x731,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725551155456,05/09/2024 15:45:55,1725536755456,-4,05/09/2024 07:45:55,183710,6,questionnaire-7y3d,,39900321,1d08nblq,11666481,,complete,krsjmy,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x633,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725551169730,05/09/2024 15:46:09,1725536769730,-4,05/09/2024 07:46:09,183710,6,questionnaire-7y3d,,39900321,1d08nblq,11666481,,complete,krsjmy,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x633,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725548192900,05/09/2024 14:56:32,1725533792900,-4,05/09/2024 06:56:32,183710,6,questionnaire-7y3d,,39899004,7fkt7ka4,11666153,,complete,qfrtbj,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x800,1280x631,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725548216242,05/09/2024 14:56:56,1725533816242,-4,05/09/2024 06:56:56,183710,6,questionnaire-7y3d,,39899004,7fkt7ka4,11666153,,complete,qfrtbj,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x800,1280x631,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725547236428,05/09/2024 14:40:36,1725532836428,-4,05/09/2024 06:40:36,183710,6,questionnaire-7y3d,,39898534,c99h7a96,11666076,,complete,xmidmd,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725547246974,05/09/2024 14:40:46,1725532846974,-4,05/09/2024 06:40:46,183710,6,questionnaire-7y3d,,39898534,c99h7a96,11666076,,complete,xmidmd,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725547043562,05/09/2024 14:37:23,1725532643562,-4,05/09/2024 06:37:23,183710,6,questionnaire-7y3d,,39898419,uicqsup8,11666017,,complete,efqypv,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725547049735,05/09/2024 14:37:29,1725532649735,-4,05/09/2024 06:37:29,183710,6,questionnaire-7y3d,,39898419,uicqsup8,11666017,,complete,efqypv,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725545326878,05/09/2024 14:08:46,1725527326878,-5,05/09/2024 04:08:46,183710,6,questionnaire-7y3d,,39897309,iym778rt,11665846,,complete,kzifcw,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1331x832,1331x699,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725545331657,05/09/2024 14:08:51,1725527331657,-5,05/09/2024 04:08:51,183710,6,questionnaire-7y3d,,39897309,iym778rt,11665846,,complete,kzifcw,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1331x832,1331x699,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725544659853,05/09/2024 13:57:39,1725530259853,-4,05/09/2024 05:57:39,183710,6,questionnaire-7y3d,,39896948,k16uwp5c,11665781,,complete,jqbxkc,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x991,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725544662473,05/09/2024 13:57:42,1725530262473,-4,05/09/2024 05:57:42,183710,6,questionnaire-7y3d,,39896948,k16uwp5c,11665781,,complete,jqbxkc,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x991,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
