Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
3,1706887628770,02/02/2024 15:27:08,1706869628770,-5,02/02/2024 05:27:08,163181,2,task-5xl3,,34739214,dub5of15,10270847,,complete,omnqtj,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1440,1098x1075,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1707136605191,05/02/2024 12:36:45,1707111405191,-7,04/02/2024 22:36:45,163181,2,task-5xl3,,34806868,e5icigg3,10288304,,complete,vbgaiu,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x937,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1707136619907,05/02/2024 12:36:59,1707111419907,-7,04/02/2024 22:36:59,163181,2,task-5xl3,,34806868,e5icigg3,10288304,,complete,vbgaiu,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x937,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,14753.731,14740.356,14753.731,14753.731,14740.356,14753.731,1,14753.731,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1707136619914,05/02/2024 12:36:59,1707111419914,-7,04/02/2024 22:36:59,163181,2,task-5xl3,,34806868,e5icigg3,10288304,,complete,vbgaiu,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x937,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1707139746330,05/02/2024 13:29:06,1707121746330,-5,05/02/2024 03:29:06,163181,2,task-5xl3,,34808739,3q7gktvi,10288907,,complete,ubudlr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1920x1080,1920x993,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1707139760301,05/02/2024 13:29:20,1707121760301,-5,05/02/2024 03:29:20,163181,2,task-5xl3,,34808739,3q7gktvi,10288907,,complete,ubudlr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1920x1080,1920x993,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,13994.300000035762,13982.199999999999,13994.300000035762,13994.300000035762,13982.199999999999,13994.300000035762,1,13994.300000035762,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1707139760305,05/02/2024 13:29:20,1707121760305,-5,05/02/2024 03:29:20,163181,2,task-5xl3,,34808739,3q7gktvi,10288907,,complete,ubudlr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1920x1080,1920x993,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1707146209823,05/02/2024 15:16:49,1707128209823,-5,05/02/2024 05:16:49,163181,2,task-5xl3,,34813819,znuxblyp,10290591,,complete,ajpowt,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x730,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1707146224493,05/02/2024 15:17:04,1707128224493,-5,05/02/2024 05:17:04,163181,2,task-5xl3,,34813819,znuxblyp,10290591,,complete,ajpowt,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x730,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,14687.299999952316,14680.900000000001,14687.299999952316,14687.299999952316,14680.900000000001,14687.299999952316,1,14687.299999952316,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1707146224495,05/02/2024 15:17:04,1707128224495,-5,05/02/2024 05:17:04,163181,2,task-5xl3,,34813819,znuxblyp,10290591,,complete,ajpowt,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x730,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
