Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1706888825299,02/02/2024 15:47:05,1706870825299,-5,02/02/2024 05:47:05,163181,2,questionnaire-7y3d,,34740325,c9rq5b0y,10270474,,complete,mijwzc,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1366x768,1517x665,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,END,,,,,
1,1706889000818,02/02/2024 15:50:00,1706871000818,-5,02/02/2024 05:50:00,163181,2,questionnaire-7y3d,,34740469,0sr4702l,10270540,,complete,qwxlfn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1360x768,1360x607,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,BEGIN,,,,,
2,1706889003635,02/02/2024 15:50:03,1706871003635,-5,02/02/2024 05:50:03,163181,2,questionnaire-7y3d,,34740469,0sr4702l,10270540,,complete,qwxlfn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1360x768,1360x607,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,END,,,,,
1,1706889416857,02/02/2024 15:56:56,1706871416857,-5,02/02/2024 05:56:56,163181,2,questionnaire-7y3d,,34740759,dub5of15,10270847,,complete,omnqtj,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1440,1098x1075,,,0,Debrief,1,A_2AlexNorm_1PatAnx,AB,,,,,5,,BEGIN,,,,,
2,1706889421342,02/02/2024 15:57:01,1706871421342,-5,02/02/2024 05:57:01,163181,2,questionnaire-7y3d,,34740759,dub5of15,10270847,,complete,omnqtj,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1440,1098x1075,,,0,Debrief,1,A_2AlexNorm_1PatAnx,AB,,,,,5,,END,,,,,
1,1706889523377,02/02/2024 15:58:43,1706871523377,-5,02/02/2024 05:58:43,163181,2,questionnaire-7y3d,,34740956,jdhmyaj1,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,BEGIN,,,,,
2,1706889525673,02/02/2024 15:58:45,1706871525673,-5,02/02/2024 05:58:45,163181,2,questionnaire-7y3d,,34740956,jdhmyaj1,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,END,,,,,
1,1707139000708,05/02/2024 13:16:40,1707113800708,-7,04/02/2024 23:16:40,163181,2,questionnaire-7y3d,,34808325,e5icigg3,10288304,,complete,vbgaiu,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,944x916,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,BEGIN,,,,,
2,1707139003795,05/02/2024 13:16:43,1707113803795,-7,04/02/2024 23:16:43,163181,2,questionnaire-7y3d,,34808325,e5icigg3,10288304,,complete,vbgaiu,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,944x916,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,END,,,,,
1,1707142076661,05/02/2024 14:07:56,1707124076661,-5,05/02/2024 04:07:56,163181,2,questionnaire-7y3d,,34810573,3q7gktvi,10288907,,complete,ubudlr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1920x1080,1920x993,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,BEGIN,,,,,
2,1707142083697,05/02/2024 14:08:03,1707124083697,-5,05/02/2024 04:08:03,163181,2,questionnaire-7y3d,,34810573,3q7gktvi,10288907,,complete,ubudlr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1920x1080,1920x993,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,END,,,,,
1,1707147959499,05/02/2024 15:45:59,1707129959499,-5,05/02/2024 05:45:59,163181,2,questionnaire-7y3d,,34815388,znuxblyp,10290591,,complete,ajpowt,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x730,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
2,1707147964318,05/02/2024 15:46:04,1707129964318,-5,05/02/2024 05:46:04,163181,2,questionnaire-7y3d,,34815388,znuxblyp,10290591,,complete,ajpowt,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x730,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,END,,,,,
1,1707150267782,05/02/2024 16:24:27,1707132267782,-5,05/02/2024 06:24:27,163181,2,questionnaire-7y3d,,34817133,ww0az2xp,10291341,,complete,psziis,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1422x670,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,BEGIN,,,,,
2,1707150284755,05/02/2024 16:24:44,1707132284755,-5,05/02/2024 06:24:44,163181,2,questionnaire-7y3d,,34817133,ww0az2xp,10291341,,complete,psziis,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1422x670,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,END,,,,,
1,1707174996938,05/02/2024 23:16:36,1707156996938,-5,05/02/2024 13:16:36,163181,2,questionnaire-7y3d,,34829026,5w93nzge,10295692,,complete,nzsaqt,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1600x900,1600x775,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,BEGIN,,,,,
2,1707175002248,05/02/2024 23:16:42,1707157002248,-5,05/02/2024 13:16:42,163181,2,questionnaire-7y3d,,34829026,5w93nzge,10295692,,complete,nzsaqt,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1600x900,1600x775,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,END,,,,,
1,1707304440116,07/02/2024 11:14:00,1707315240116,3,07/02/2024 17:14:00,163181,2,questionnaire-7y3d,,34880107,3zl1b5o1,10310934,,complete,ntefee,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,BEGIN,,,,,
2,1707304514656,07/02/2024 11:15:14,1707315314656,3,07/02/2024 17:15:14,163181,2,questionnaire-7y3d,,34880107,3zl1b5o1,10310934,,complete,ntefee,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,END,,,,,
1,1707317372217,07/02/2024 14:49:32,1707299372217,-5,07/02/2024 04:49:32,163181,2,questionnaire-7y3d,,34888780,4u2xhyzk,10314870,,complete,wcaytd,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,BEGIN,,,,,
2,1707317387504,07/02/2024 14:49:47,1707299387504,-5,07/02/2024 04:49:47,163181,2,questionnaire-7y3d,,34888780,4u2xhyzk,10314870,,complete,wcaytd,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,END,,,,,
1,1707328266547,07/02/2024 17:51:06,1707317466547,-3,07/02/2024 11:51:06,163181,2,questionnaire-7y3d,,34895449,szjrz20r,10317326,,complete,hjmiit,,computer,Desktop or Laptop,Windows 10,Opera 106.0.0.0,1920x1080,1879x901,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
