"participant_ID","botcondition","bots_Mixed","bots_Negative","bots_Neutral","bots_Positive","bots_mean_words","user_Mixed","user_Negative","user_Neutral","user_Positive","user_mean_words","user_mean_rt","num_interactions","gpt_user_mirror","user_gpt_mirror"
11492,"inverse",11,12,3,0,36.3076923076923,5,1,10,10,18.3846153846154,NA,26,0.153846153846154,0.12
38957,"inverse",10,13,2,1,41.4230769230769,8,3,12,3,18,NA,26,0.346153846153846,0.4
61444,"inverse",14,0,10,2,29.0384615384615,1,0,17,8,8.57692307692308,NA,26,0.269230769230769,0.36
50861,"inverse",23,1,1,0,33.6,0,0,19,6,4.24,NA,25,0,0
41384,"inverse",6,3,17,0,26.2692307692308,0,16,10,0,5.88461538461539,NA,26,0.269230769230769,0.44
84409,"inverse",6,0,16,3,35.08,1,4,20,0,10.92,NA,25,0.56,0.541666666666667
33270,"inverse",6,0,10,10,33.3461538461538,2,1,17,6,13.0769230769231,NA,26,0.5,0.4
39320,"inverse",14,8,3,1,37,3,6,12,5,13.5384615384615,NA,26,0.384615384615385,0.36
23429,"inverse",25,0,1,0,35.8461538461538,3,2,12,9,14.6153846153846,NA,26,0.153846153846154,0.12
17304,"inverse",17,2,6,1,34.3461538461538,5,0,16,5,15.1153846153846,NA,26,0.307692307692308,0.24
35669,"inverse",13,6,7,0,34.5,5,0,14,7,16.8076923076923,NA,26,0.230769230769231,0.28
30122,"inverse",15,0,8,3,26.1923076923077,8,2,12,4,16.1923076923077,NA,26,0.423076923076923,0.48
16234,"inverse",7,15,1,3,47.8076923076923,5,10,4,7,15.2307692307692,NA,26,0.5,0.4
46711,"inverse",16,2,6,2,36.9615384615385,10,1,15,0,32.5,NA,26,0.423076923076923,0.44
99496,"inverse",11,4,9,2,31.0769230769231,6,0,15,5,18.6923076923077,NA,26,0.461538461538462,0.48
67900,"inverse",5,9,9,3,28.1923076923077,0,7,17,2,5.53846153846154,NA,26,0.346153846153846,0.48
94659,"inverse",17,2,6,1,41.3076923076923,13,2,10,1,30,NA,26,0.423076923076923,0.28
48354,"inverse",10,5,10,1,44.6153846153846,8,4,8,6,29.3461538461538,NA,26,0.346153846153846,0.52
18724,"inverse",10,0,5,11,33.9615384615385,10,1,10,5,18.6153846153846,NA,26,0.307692307692308,0.36
37559,"inverse",17,6,3,0,38.4615384615385,7,7,8,4,27.2692307692308,NA,26,0.384615384615385,0.36
41919,"inverse",8,5,9,3,30.4,0,4,20,1,7.96,NA,25,0.32,0.375
53025,"inverse",7,1,8,10,26.2692307692308,5,3,10,8,10.8076923076923,NA,26,0.346153846153846,0.6
59088,"inverse",12,0,8,6,33.4230769230769,8,1,11,6,22.6538461538462,NA,26,0.461538461538462,0.36
37239,"inverse",15,6,2,3,37.8846153846154,5,1,10,10,11.6538461538462,NA,26,0.230769230769231,0.2
69820,"inverse",15,0,5,6,40.7692307692308,11,3,4,8,34.1538461538462,NA,26,0.5,0.6
71920,"inverse",9,11,6,0,38.3461538461538,2,5,18,1,11.6153846153846,NA,26,0.269230769230769,0.32
87091,"inverse",5,18,3,0,38.7307692307692,0,8,15,3,14.5,NA,26,0.384615384615385,0.28
40377,"inverse",9,7,10,0,30.5769230769231,5,0,16,5,14.4615384615385,NA,26,0.461538461538462,0.44
94161,"inverse",12,1,5,6,35.875,6,2,10,6,10.6666666666667,NA,24,0.416666666666667,0.565217391304348
63396,"inverse",9,10,7,0,36.8076923076923,2,6,11,7,21,NA,26,0.423076923076923,0.52
37703,"inverse",17,0,7,2,31.9615384615385,6,0,15,5,10.1923076923077,NA,26,0.307692307692308,0.32
87842,"inverse",20,2,3,1,35.4230769230769,6,1,14,5,15.0769230769231,NA,26,0.269230769230769,0.2
43294,"inverse",15,2,7,2,32.8461538461538,7,0,10,9,19.6923076923077,NA,26,0.576923076923077,0.44
54761,"inverse",15,1,10,0,36.9615384615385,5,0,16,5,10.8076923076923,NA,26,0.384615384615385,0.44
50895,"inverse",12,1,12,1,22.5,1,1,19,5,4.84615384615385,NA,26,0.384615384615385,0.32
